batch,model,widthLoIn,widthHiIn,rawHeader,styleCount,styles
range1,U200C,0,137,U200C-LTE11-5,1,1_16GaSTDTrussEvery2ndSection
range1,U200C,137,146,U200C-GT11-5-LTE12-2,1,1_16GaSTDTrussEvery2ndSection
range1,U200C,146,159,U200C-GT12-2-LTE13-3,1,1_16GaSTDTrussEvery2ndSection
range1,U200C,159,162,U200C-GT13-3-LTE13-6,1,1_16GaSTDTrussEverySection
range1,U200C,162,187,U200C-GT13-6-LTE15-7,1,1_16GaSTDTrussEverySection
range1,U200C,187,192,U200C-GT15-7-LTE16-0,0,
range2,U200C,192,194,U200C-GT16-0-LTE16-2,1,1_HatTrussPerSection
range2,U200C,194,222,U200C-GT16-2-LTE18-6,1,1_HatTrussPerSection
range2,U200C,230,273,U200C-GT19-2-LTE22-9,1,1_HatTrussPerSection
range2,U200C,273,283,U200C-GT22-9-LTE23-7,2,1_16GaSTDTrussEverySection | 1_HatTrussPerSection
range2,U200C,283,328,U200C-GT23-7-LTE27-4,2,1_16GaSTDTrussEverySection | 1_HatTrussPerSection
range2,U200C,328,330,U200C-GT27-4-LTE27-6,0,
range2,U200C,330,386,U200C-GT27-6-LTE32-2,0,
